12/22/2022 04:51:08 AM ----------------------------------------------------------------------------------------------------
12/22/2022 04:51:08 AM Name                                                                   Weight Shape                   Total Parameters               Trainable                     
12/22/2022 04:51:08 AM encoder.resnet.6.9.conv2.weight                                        torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.9.bn2.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.9.bn2.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.9.conv3.weight                                        torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.9.bn3.weight                                          torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.9.bn3.bias                                            torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.10.conv1.weight                                       torch.Size([256, 1024, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.10.bn1.weight                                         torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.10.bn1.bias                                           torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.10.conv2.weight                                       torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.10.bn2.weight                                         torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.10.bn2.bias                                           torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.10.conv3.weight                                       torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.10.bn3.weight                                         torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.10.bn3.bias                                           torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.11.conv1.weight                                       torch.Size([256, 1024, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.11.bn1.weight                                         torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.11.bn1.bias                                           torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.11.conv2.weight                                       torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.11.bn2.weight                                         torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.11.bn2.bias                                           torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.11.conv3.weight                                       torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.11.bn3.weight                                         torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.11.bn3.bias                                           torch.Size([1024])             1024                           0                             
